País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Japón,43 Comercio al por mayor,47.8,27.0,8.4,-2.2,-12.5,4.6,-34.8,17.5,98.8,172.6,121.9,67.6,152.4,92.8,53.4,286.9,96.5,99.5,"1,298.3"
Japón,"431 Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco",6.9,C,0.0,0.0,0.0,0.0,C,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,12.1
Japón,4311 Comercio al por mayor de abarrotes y alimentos,6.9,C,0.0,0.0,0.0,0.0,C,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,12.1
Japón,432 Comercio al por mayor de productos textiles y calzado,C,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japón,4321 Comercio al por mayor de productos textiles y calzado,C,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japón,"433 Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca",2.5,-1.4,5.4,0.9,1.1,5.5,C,0.4,C,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,15.4
Japón,4331 Comercio al por mayor de productos farmacéuticos,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,14.0
Japón,"4332 Comercio al por mayor de artículos de perfumería, cosméticos y joyería",C,C,C,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.2
Japón,"4333 Comercio al por mayor de discos, juguetes y artículos deportivos",C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,1.2
Japón,"4334 Comercio al por mayor de artículos de papelería, libros, revistas y periódicos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
