País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Canadá,43 Comercio al por mayor,16.7,19.0,69.4,9.3,8.5,28.2,10.6,6.5,-5.3,2.6,0.4,6.7,30.9,569.6,-3.4,11.2,33.0,C,814.0
Canadá,"431 Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco",0.0,C,0.2,C,0.0,0.7,0.9,6.9,0.0,-2.0,0.0,0.0,C,6.4,3.9,0.1,0.0,C,25.0
Canadá,4311 Comercio al por mayor de abarrotes y alimentos,0.0,C,0.2,C,0.0,0.0,0.9,8.7,0.0,-2.0,0.0,0.0,C,6.4,3.9,0.1,0.0,0.0,26.1
Canadá,"4312 Comercio al por mayor de bebidas, hielo y tabaco",0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,C,0.0,C,-1.1
Canadá,432 Comercio al por mayor de productos textiles y calzado,C,C,0.0,0.0,C,C,C,C,0.3,C,C,C,C,C,C,C,C,0.0,-10.8
Canadá,4321 Comercio al por mayor de productos textiles y calzado,C,C,0.0,0.0,C,C,C,C,0.3,C,C,C,C,C,C,C,C,0.0,-10.8
Canadá,"433 Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca",9.2,16.0,49.5,2.7,1.5,30.6,8.1,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,121.2
Canadá,4331 Comercio al por mayor de productos farmacéuticos,0.0,C,C,C,0.0,16.4,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,16.9
Canadá,"4332 Comercio al por mayor de artículos de perfumería, cosméticos y joyería",7.9,15.9,48.6,0.6,0.8,10.7,8.1,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,92.6
Canadá,"4333 Comercio al por mayor de discos, juguetes y artículos deportivos",C,0.0,C,C,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,5.3
Canadá,"4334 Comercio al por mayor de artículos de papelería, libros, revistas y periódicos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C
Canadá,4335 Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,6.3
