País de Origen,Entidad federativa,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Otros países,Baja California,0.9,1.1,44.3,1.2,0.6,14.0,1.7,4.7,17.2,8.3,6.2,17.1,11.4,3.8,C,-1.4,0.7,C,132.3
Otros países,Baja California Sur,0.2,0.1,0.0,0.0,0.0,3.2,0.9,0.9,8.1,4.9,2.4,1.9,-5.1,0.7,0.0,-0.6,3.0,0.3,21.0
Otros países,Campeche,0.7,0.0,0.2,0.0,0.2,0.0,C,40.4,76.9,6.8,-1.0,C,C,C,C,0.0,C,C,125.2
Otros países,Chiapas,0.1,C,C,0.0,C,C,C,C,2.8,6.6,-2.6,2.0,C,0.0,C,0.0,C,C,0.7
Otros países,Chihuahua,6.9,132.9,106.5,-9.3,41.7,46.8,243.4,256.7,136.0,12.7,114.9,56.0,8.2,20.4,23.9,187.7,-8.4,C,"1,377.5"
Otros países,Ciudad de México,24.3,89.9,-289.5,366.6,127.9,75.5,575.2,-267.8,179.7,36.8,181.7,287.0,109.7,21.0,57.6,109.1,121.8,5.9,"1,812.3"
Otros países,Coahuila de Zaragoza,7.9,43.5,1.7,2.2,64.3,30.9,67.7,128.5,-0.6,21.8,62.6,27.6,40.3,-100.1,121.9,-44.0,0.6,C,477.1
Otros países,Colima,0.7,0.9,1.0,0.7,0.9,4.0,0.5,1.1,2.9,2.3,2.1,1.1,C,C,C,C,-0.1,C,18.1
Otros países,Durango,0.9,6.9,112.9,-7.8,26.8,81.3,8.0,38.8,55.6,5.3,18.9,9.0,67.0,-14.3,52.2,123.8,55.6,C,641.0
Otros países,Estado de México,0.2,2.0,6.9,1.0,0.4,66.8,139.7,19.7,-60.9,32.4,22.5,49.1,37.2,-0.9,30.2,32.4,-5.9,26.2,399.1
Otros países,Guanajuato,3.7,6.1,13.1,5.9,3.8,29.4,23.4,-7.3,15.9,9.9,14.5,9.4,6.8,6.2,9.8,-1.9,-1.0,C,160.7
Otros países,Guerrero,0.6,16.3,C,C,16.3,63.8,36.8,47.9,34.2,3.0,9.3,4.0,0.6,C,C,206.0,0.0,C,454.7
Otros países,Hidalgo,C,C,C,C,15.8,C,1.2,C,4.5,3.2,30.2,2.0,C,C,0.0,0.0,C,C,113.2
Otros países,Jalisco,9.7,13.0,24.8,11.5,15.9,20.6,4.1,-91.8,28.8,10.1,21.4,6.5,3.2,9.5,12.9,13.8,5.7,1.7,121.2
Otros países,Michoacán de Ocampo,0.8,0.9,1.1,0.7,0.8,5.4,C,-1.0,3.9,3.8,3.2,5.7,1.0,C,0.2,C,0.2,C,57.1
Otros países,Morelos,C,C,C,C,C,1.4,34.5,158.8,88.8,2.9,14.9,-5.2,C,C,C,0.0,C,C,310.5
Otros países,Nayarit,0.4,0.9,0.6,0.5,0.5,3.0,0.7,6.2,2.2,1.9,1.6,0.9,0.6,-0.2,0.4,0.1,0.5,C,20.8
Otros países,Nuevo León,13.8,11.1,41.9,14.6,40.9,42.2,-32.5,-282.2,76.4,10.5,14.1,12.7,2.9,1.1,4.2,103.7,0.6,C,76.9
Otros países,Oaxaca,0.0,0.0,C,0.0,C,C,C,0.4,2.9,7.1,-2.5,6.0,C,0.0,0.0,0.0,1.8,C,18.4
Otros países,Puebla,2.5,2.1,13.5,1.7,1.1,1.6,-1.4,-74.9,7.3,3.0,2.3,2.8,1.0,C,C,C,0.5,C,-36.4
Otros países,Querétaro,0.5,2.4,0.6,2.4,0.6,1.8,7.0,17.3,-1.7,1.6,6.9,2.5,0.5,0.0,-0.8,C,0.4,C,42.6
Otros países,Quintana Roo,0.7,2.5,0.4,2.1,1.3,5.1,5.2,2.4,13.4,14.1,4.9,122.4,52.8,20.6,2.1,6.4,13.5,1.0,271.0
Otros países,San Luis Potosí,0.3,149.8,59.1,-10.4,47.2,57.5,346.7,401.0,254.6,6.8,111.2,32.0,-1.6,-0.4,33.5,C,-23.8,C,"1,476.3"
Otros países,Sinaloa,6.7,6.5,16.5,7.9,15.3,22.2,-1.7,-133.1,13.2,8.6,7.2,2.6,2.2,C,1.6,100.2,0.8,C,79.6
Otros países,Sonora,3.5,246.7,378.3,7.8,75.2,-16.0,638.6,916.7,398.7,17.7,113.3,-380.3,-244.3,-105.7,-33.2,179.5,-1.0,C,"2,195.8"
Otros países,Tabasco,0.1,-0.1,0.0,0.0,C,C,C,1.3,8.4,10.0,-0.6,1.3,0.4,0.0,C,C,-0.3,C,22.1
Otros países,Tamaulipas,2.2,30.9,16.5,1.4,20.8,23.8,2.7,152.5,-63.9,4.3,7.4,3.4,2.2,C,4.1,292.8,66.9,C,567.4
Otros países,Tlaxcala,-0.3,0.5,10.5,1.2,0.0,1.2,C,0.4,C,C,0.0,C,0.0,0.0,C,0.0,C,C,12.5
Otros países,Veracruz de Ignacio de la Llave,0.6,4.6,6.2,0.1,1.5,11.6,6.6,18.9,28.3,18.8,7.6,5.8,3.8,C,66.3,0.2,1.1,C,182.7
Otros países,Yucatán,0.3,1.4,0.0,0.2,0.1,5.9,1.8,0.1,14.7,16.0,7.0,2.6,2.5,0.8,0.2,0.6,8.0,0.5,63.0
Otros países,Zacatecas,C,28.9,174.3,9.3,116.0,-5.0,105.4,52.6,95.7,2.2,26.0,241.1,154.5,168.6,146.4,450.2,110.1,C,"1,877.0"
Países Bajos,Aguascalientes,0.0,0.0,-0.1,C,0.2,0.1,C,2.5,0.3,1.6,0.3,C,C,C,C,C,C,15.6,17.5
Países Bajos,Baja California,5.6,0.7,27.2,5.3,291.0,-1.5,16.7,35.2,8.1,10.9,32.1,-1.1,26.8,18.5,13.5,1.1,-29.3,108.5,569.4
Países Bajos,Baja California Sur,13.2,1.4,3.3,35.2,17.3,0.4,0.3,0.1,0.4,1.5,2.0,C,C,39.7,C,1.5,C,-0.8,115.2
Países Bajos,Campeche,0.3,38.6,-0.4,C,2.5,0.0,C,0.1,19.9,1.4,1.4,C,2.3,6.0,-1.0,C,0.1,C,101.1
Países Bajos,Chiapas,0.0,0.0,-0.6,C,0.1,0.0,0.4,0.2,0.6,1.1,1.4,17.6,C,C,C,C,C,C,29.7
Países Bajos,Chihuahua,14.3,12.9,10.1,0.0,69.7,2.1,3.7,8.9,0.8,2.6,1.8,-5.0,7.3,15.8,6.3,5.1,23.0,40.0,219.5
Países Bajos,Ciudad de México,47.1,150.2,14.3,129.1,285.0,121.4,133.5,34.1,79.7,42.8,71.1,24.5,66.4,49.3,24.8,44.9,28.4,239.6,"1,586.2"
Países Bajos,Coahuila de Zaragoza,0.0,0.0,15.5,1.8,0.0,22.3,C,0.1,4.6,16.2,9.9,C,-9.3,15.8,11.1,5.7,19.1,4.6,116.4
Países Bajos,Colima,46.2,-36.0,-0.1,C,15.4,0.0,9.0,13.0,0.1,1.5,2.2,C,C,C,3.1,C,C,0.0,51.1
Países Bajos,Durango,5.0,C,-0.2,C,0.0,0.0,C,0.6,0.3,2.8,1.4,C,C,C,0.0,C,3.3,0.0,13.1
Países Bajos,Estado de México,-4.1,10.4,12.2,11.8,25.1,19.0,8.0,-1.6,42.7,39.9,24.6,18.4,5.0,14.4,20.1,73.8,13.4,41.2,374.2
Países Bajos,Guanajuato,0.0,20.0,0.9,C,0.9,7.6,2.1,9.3,4.3,3.9,4.0,-48.7,C,1.2,-1.4,C,-0.2,15.9,20.6
Países Bajos,Guerrero,0.0,-19.1,-0.1,23.9,-43.3,7.3,C,1.3,-0.2,1.5,0.4,-0.9,C,C,0.8,0.1,-1.0,C,-18.7
Países Bajos,Hidalgo,-0.5,-0.7,0.2,C,238.4,7.1,16.4,24.9,-3.2,1.7,2.6,-12.7,C,C,6.0,-4.7,-22.9,31.1,320.1
Países Bajos,Jalisco,33.7,-12.2,70.1,17.6,388.0,67.7,17.3,18.1,-4.5,15.2,5.4,-29.2,21.4,23.9,18.3,-5.2,-28.3,103.7,720.8
Países Bajos,Michoacán de Ocampo,0.0,0.0,-0.5,C,0.1,0.0,C,0.3,0.6,1.8,0.7,C,C,C,1.2,C,-0.2,17.2,35.5
Países Bajos,Morelos,-14.7,16.8,-0.1,C,0.0,0.0,C,0.1,9.2,2.6,2.5,3.5,3.9,3.5,-0.1,C,0.9,31.0,59.4
Países Bajos,Nayarit,0.1,0.0,18.0,C,0.1,0.0,C,0.5,0.1,1.5,0.2,-0.7,95.9,4.7,C,0.0,C,0.0,120.8
Países Bajos,Nuevo León,-5.3,-9.2,57.1,10.9,"3,254.0",115.0,180.6,269.1,218.1,17.3,55.2,-153.2,287.1,288.1,160.9,-36.5,-275.4,582.4,"5,016.1"
Países Bajos,Oaxaca,0.0,0.0,0.0,C,0.0,8.0,C,3.5,1.1,1.4,C,0.0,0.0,C,C,C,C,0.0,21.4
Países Bajos,Puebla,-0.1,4.6,27.6,C,61.9,9.2,21.3,17.9,1.0,2.0,4.1,-21.3,2.8,3.8,4.1,-0.5,-8.7,33.5,162.7
Países Bajos,Querétaro,-0.8,-0.2,59.2,5.6,117.5,29.1,31.6,11.9,8.5,18.8,5.5,-4.6,20.4,7.7,-0.6,8.8,3.0,66.7,388.0
Países Bajos,Quintana Roo,93.7,163.2,28.0,31.7,-3.0,4.7,25.0,5.2,4.1,2.3,0.7,55.5,157.4,41.7,5.5,5.4,1.7,2.1,624.9
Países Bajos,San Luis Potosí,-25.0,0.0,-34.0,15.1,11.9,1.6,14.1,120.8,4.4,0.2,0.5,C,C,C,-1.7,C,2.7,1.7,100.6
Países Bajos,Sinaloa,1.9,1.6,0.0,C,4.4,0.7,3.4,-1.3,0.7,1.9,1.0,C,C,C,-1.5,C,-0.1,18.1,25.1
Países Bajos,Sonora,-0.6,-0.8,-0.3,C,264.2,7.4,14.1,23.6,-3.4,2.2,5.4,-14.8,18.6,C,12.6,-10.9,-25.0,74.7,387.0
